,dateTime,precipitation,discharge,,,,,
1,1/1/18 5:00,0,9.37,,,,,
2,1/1/18 5:15,0,9.37,,,,,
3,1/1/18 5:30,0,9.57,,,,,
4,1/1/18 5:45,0,9.57,,,,,
5,1/1/18 6:00,NA,9.57,,,,,
6,1/1/18 6:15,0,9.57,,,,,
7,1/1/18 6:30,NA,9.68,,,,,
8,1/1/18 6:45,0,9.68,,,,,
9,1/1/18 7:00,0,9.88,,,,,
10,1/1/18 7:15,0,9.88,,,,,
11,1/1/18 7:30,0,9.8,,,,,
12,1/1/18 7:45,0,10,,,,,
13,1/1/18 8:00,0,10,,,,,
14,1/1/18 8:15,0,9.88,,,,,
15,1/1/18 8:30,0,10.11,,,,,
16,1/1/18 8:45,0,10.11,,,,,
17,1/1/18 9:00,0,10.22,,,,,
18,1/1/18 9:15,0,10.22,,,,,
19,1/1/18 9:30,0,10.11,,,,,
20,1/1/18 9:45,0,10.34,,,,,
21,1/1/18 10:00,NA,10.34,,,,,
22,1/1/18 10:15,0,10.22,,,,,
23,1/1/18 10:30,0,10.34,,,,,
24,1/1/18 10:45,0,10.45,,,,,
25,1/1/18 11:00,0,10.53,,,,,
26,1/1/18 11:15,0,10.45,,,,,
27,1/1/18 11:30,0,10.53,,,,,
28,1/1/18 11:45,0,10.53,,,,,
29,1/1/18 12:00,0,10.45,,,,,
30,1/1/18 12:15,0,10.65,,,,,
31,1/1/18 12:30,0,10.65,,,,,
32,1/1/18 12:45,0,10.65,,,,,
33,1/1/18 13:00,0,10.65,,,,,
34,1/1/18 13:15,0,10.65,,,,,
35,1/1/18 13:30,0,10.65,,,,,
36,1/1/18 13:45,0,10.65,,,,,
37,1/1/18 14:00,0,10.65,,,,,
38,1/1/18 14:15,0,10.65,,,,,
39,1/1/18 14:30,0,10.65,,,,,
40,1/1/18 14:45,0,10.76,,,,,
41,1/1/18 15:00,0,10.45,,,,,
42,1/1/18 15:15,0,10.45,,,,,
43,1/1/18 15:30,0,10.53,,,,,
44,1/1/18 15:45,0,10.34,,,,,
45,1/1/18 16:00,NA,10,,,,,
46,1/1/18 16:15,0,10,,,,,
47,1/1/18 16:30,0,9.68,,,,,
48,1/1/18 16:45,0,9.57,,,,,
49,1/1/18 17:00,0,9.37,,,,,
50,1/1/18 17:15,0,9.15,,,,,
51,1/1/18 17:30,0,8.95,,,,,
52,1/1/18 17:45,0,8.61,,,,,
53,1/1/18 18:00,0,8.52,,,,,
54,1/1/18 18:15,0,8.41,,,,,
55,1/1/18 18:30,0,8.3,,,,,
56,1/1/18 18:45,0,8.3,,,,,
57,1/1/18 19:00,0,8.1,,,,,
58,1/1/18 19:15,0,7.99,,,,,
59,1/1/18 19:30,0,7.99,,,,,
60,1/1/18 19:45,NA,7.9,,,,,
61,1/1/18 20:00,0,7.99,,,,,
62,1/1/18 20:15,0,7.99,,,,,
63,1/1/18 20:30,0,7.79,,,,,
64,1/1/18 20:45,0,7.67,,,,,
65,1/1/18 21:00,0,7.9,,,,,
66,1/1/18 21:15,0,7.99,,,,,
67,1/1/18 21:30,0,7.9,,,,,
68,1/1/18 21:45,0,7.9,,,,,
69,1/1/18 22:00,0,7.9,,,,,
70,1/1/18 22:15,0,7.99,,,,,
71,1/1/18 22:30,0,7.9,,,,,
72,1/1/18 22:45,0,7.99,,,,,
73,1/1/18 23:00,0,8.1,,,,,
74,1/1/18 23:15,0,7.99,,,,,
75,1/1/18 23:30,NA,7.99,,,,,
76,1/1/18 23:45,0,8.21,,,,,
77,1/2/18 0:00,0,8.1,,,,,
78,1/2/18 0:15,0,8.21,,,,,
79,1/2/18 0:30,0,8.3,,,,,
80,1/2/18 0:45,0,8.3,,,,,
81,1/2/18 1:00,0,8.3,,,,,
82,1/2/18 1:15,NA,8.3,,,,,
83,1/2/18 1:30,0,8.21,,,,,
84,1/2/18 1:45,0,8.41,,,,,
85,1/2/18 2:00,0,8.3,,,,,
86,1/2/18 2:15,0,8.3,,,,,
87,1/2/18 2:30,NA,8.52,,,,,
88,1/2/18 2:45,0,8.41,,,,,
89,1/2/18 3:00,0,8.41,,,,,
90,1/2/18 3:15,0,8.41,,,,,
91,1/2/18 3:30,0,8.52,,,,,
92,1/2/18 3:45,0,8.41,,,,,
93,1/2/18 4:00,NA,8.61,,,,,
94,1/2/18 4:15,0,8.52,,,,,
95,1/2/18 4:30,0,8.61,,,,,
96,1/2/18 4:45,0,8.52,,,,,
97,1/2/18 5:00,0,8.52,,,,,
98,1/2/18 5:15,0,8.52,,,,,
99,1/2/18 5:30,0,8.52,,,,,
100,1/2/18 5:45,0,8.41,,,,,
101,1/2/18 6:00,0,8.41,,,,,
102,1/2/18 6:15,0,8.61,,,,,
103,1/2/18 6:30,0,8.52,,,,,
104,1/2/18 6:45,0,8.41,,,,,
105,1/2/18 7:00,0,8.41,,,,,
106,1/2/18 7:15,0,8.61,,,,,
107,1/2/18 7:30,0,8.41,,,,,
108,1/2/18 7:45,0,8.52,,,,,
109,1/2/18 8:00,0,8.52,,,,,
110,1/2/18 8:15,0,8.52,,,,,
111,1/2/18 8:30,0,8.41,,,,,
112,1/2/18 8:45,0,8.41,,,,,
113,1/2/18 9:00,0,8.41,,,,,
114,1/2/18 9:15,0,8.41,,,,,
115,1/2/18 9:30,0,8.52,,,,,
116,1/2/18 9:45,0,8.41,,,,,
117,1/2/18 10:00,NA,8.52,,,,,
118,1/2/18 10:15,0,8.52,,,,,
119,1/2/18 10:30,0,8.52,,,,,
120,1/2/18 10:45,0,8.52,,,,,
121,1/2/18 11:00,0,8.41,,,,,
122,1/2/18 11:15,0,8.52,,,,,
123,1/2/18 11:30,0,8.41,,,,,
124,1/2/18 11:45,0,8.52,,,,,
125,1/2/18 12:00,NA,8.3,,,,,
126,1/2/18 12:15,0,8.41,,,,,
127,1/2/18 12:30,0,8.3,,,,,
128,1/2/18 12:45,0,8.41,,,,,
129,1/2/18 13:00,0,8.52,,,,,
